Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,136.434329065908
Japan,JPN,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,133.427389014296
Japan,JPN,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,135.727771284725
Japan,JPN,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.144064930673
Japan,JPN,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,136.45131786813
Japan,JPN,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,139.550526232492
Japan,JPN,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,141.640034297295
Japan,JPN,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,137.336412625096
Japan,JPN,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.203539823009
Japan,JPN,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.611832611833
Japan,JPN,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,139.324227174694
Japan,JPN,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132.447171097478
Japan,JPN,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,134.296076491922
Japan,JPN,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,131.164930666496
Japan,JPN,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,120.67012460502
Japan,JPN,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,111.786646773592
Japan,JPN,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.716937354988
Japan,JPN,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,113.335237007424
Japan,JPN,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,102.509547190398
Japan,JPN,1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,98.1621621621622
Japan,JPN,1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,106.448683015441
Japan,JPN,1978,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,102.634011090573
Japan,JPN,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,99.1596638655462
Japan,JPN,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,116.146993318486
Japan,JPN,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,84.0825281239789
Japan,JPN,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,65.9293315757322
Japan,JPN,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,78.1148881388957
Japan,JPN,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,70.4361487755729
Japan,JPN,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,73.6453486136215
Japan,JPN,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,70.5529887380884
Japan,JPN,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,73.7728988952594
Japan,JPN,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,75.018315018315
Japan,JPN,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,76.6767459652446
Japan,JPN,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,81.4595173379458
Japan,JPN,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,84.0444847934635
Japan,JPN,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,88.5735811150176
Japan,JPN,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,97.5448233933874
Japan,JPN,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,101.665187114689
Japan,JPN,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,100.133370415787
Japan,JPN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,238.182261208577
Japan,JPN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,237.027158098933
Japan,JPN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,235.997102848865
Japan,JPN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,243.234799327085
Japan,JPN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,236.018164435946
Japan,JPN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,225.326991676576
Japan,JPN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,253.197536712459
Japan,JPN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,244.643699858424
Japan,JPN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,252.825343853038
Japan,JPN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,249.839896567936
Japan,JPN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,255.090469406819
Japan,JPN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,208.493327899395
Japan,JPN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,235.863293871866
Japan,JPN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,327.142350901526
Japan,JPN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,294.390145061018
Japan,JPN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,296.781747706422
Japan,JPN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,295.087398949532
Japan,JPN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,301.858947009325
Japan,JPN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,292.873358225843
Japan,JPN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,304.680468046805
Japan,JPN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,324.60885113992
Japan,JPN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,319.498112369531
Japan,JPN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,312.811466372657
Japan,JPN,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,330.422411906325
Japan,JPN,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,339.634941329857
Japan,JPN,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,354.449244060475
Japan,JPN,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,378.43347639485
Japan,JPN,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,387.854855923159
Japan,JPN,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,378.447178616886
Japan,JPN,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,369.620253164557
Japan,JPN,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,385.486577181208
Japan,JPN,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,404.424040066778
Japan,JPN,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,404.286308780691
Japan,JPN,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,423.057748234317
Japan,JPN,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,425.850622406639
Japan,JPN,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,419.047619047619
Japan,JPN,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,433.808933002481
Japan,JPN,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,433.28515383027
Japan,JPN,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,409.006595218467
Japan,JPN,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,386.545978193787
Japan,JPN,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,372.589249076734
Japan,JPN,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,480.131093814011
Japan,JPN,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,453.450387913434
Japan,JPN,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,432.498472816127
Japan,JPN,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,423.897581792319
Japan,JPN,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,364.266936299292
Japan,JPN,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,411.932503013258
Japan,JPN,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,447.676969092722
Japan,JPN,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,407.810955111726
Japan,JPN,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,373.658536585366
Japan,JPN,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,376.173979984604
Japan,JPN,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,408.795040681906
Japan,JPN,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,404.210526315789
Japan,JPN,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,391.426445973591
Japan,JPN,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,362.736108564093
Japan,JPN,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,337.98831690398
Japan,JPN,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,318.896925858951
Japan,JPN,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,322.62118491921
Japan,JPN,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,294.457295373665
Japan,JPN,1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,279.888692579505
Japan,JPN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,43720
Japan,JPN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,43970
Japan,JPN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,44200
Japan,JPN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,44440
Japan,JPN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,44710
Japan,JPN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,44960
Japan,JPN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,45180
Japan,JPN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,45380
Japan,JPN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,45490
Japan,JPN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,45610
Japan,JPN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,45930
Japan,JPN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,46090
Japan,JPN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,46280
Japan,JPN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,46500
Japan,JPN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,46710
Japan,JPN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,46920
